City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Amalapuram,IN,16.5833,82.0167,67.89,88,6,1.48,clear sky
316,Necochea,AR,-38.5473,-58.7368,89.01,31,4,5.1,clear sky
317,Keetmanshoop,NA,-26.5833,18.1333,81.12,46,93,15.93,light rain
318,Dunkwa,GH,5.9656,-1.78,83.07,64,100,6.93,overcast clouds
319,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,84.18,70,100,3.36,overcast clouds
320,Aragarcas,BR,-15.8975,-52.2508,75.85,88,75,4.61,broken clouds
321,Bilgoraj,PL,50.5411,22.722,25.66,95,58,5.99,broken clouds
322,Bermejo,AR,-32.8833,-68.8,94.91,24,0,10.36,clear sky
323,Podgornaya,RU,44.2031,43.4297,29.25,93,100,5.66,light snow
324,Hammerfest,NO,70.6634,23.6821,36.05,87,75,29.93,shower sleet
325,Vazante,BR,-17.9869,-46.9078,81.36,68,99,3.38,overcast clouds
326,Soyo,AO,-6.1349,12.3689,78.67,82,97,6.2,overcast clouds
327,Zafarwal,PK,32.3463,74.8999,59.63,66,74,2.17,broken clouds
328,Gwadar,PK,25.1216,62.3254,70.68,77,0,12.73,clear sky
329,Yavatmal,IN,20.4,78.1333,70.41,20,0,1.95,clear sky
330,Chernyshkovskiy,RU,48.4219,42.2308,28.85,97,100,6.98,overcast clouds
331,Menongue,AO,-14.6585,17.691,61.88,93,100,5.06,light rain
332,Gitega,BI,-3.5,29.95,60.39,87,100,5.66,overcast clouds
333,Zastron,ZA,-30.3023,27.084,70.34,40,31,6.69,scattered clouds
334,Natal,BR,-5.795,-35.2094,88.45,66,20,16.11,few clouds
335,Dekar,BW,-21.5333,21.9333,74.14,67,91,5.79,overcast clouds
336,Rioblanco,CO,3.5308,-75.6806,78.64,38,12,6.22,few clouds
337,Mosquera,CO,4.7059,-74.2302,68.09,45,75,12.66,broken clouds
